ID,Mês,Ano,Tipo de tráfego:Suburbano,Tipo de tráfego:Nacional,Tipo de tráfego:Internacional, Numero total de passageiros transportados 
1,Janeiro,2021,123 217,42 817,47,166 081
2,Fevereiro,2021,72 016,28 643,0,100 659
3,Março,2021,77 832,64 645,0,142 477
4,Janeiro,2020,246 980,149 710,7 419,404 109
14,Fevereiro,2020,234 582,144 762,7 231,386 575
15,Março,2020,129 229,51 997,887,182 113
16,Abril,2020,20 560,5 466,0,26 026
17,Maio,2020,71 044,31 152,0,102 196
18,Junho,2020,101 863,53 199,0,155 062
19,Julho,2020,138 400,69 996,0,208 396
20,Agosto,2020,133 318,87 792,70,221 181
21,Setembro,2020,157 002,81 315,111,238 428
22,Outubro,2020,164 797,75 692,120,240 608
23,Novembro,2020,143 385,52 791,64,196 240
24,Dezembro,2020,132 160,59 101,71,191 332
25,Janeiro,2019,210 001,135 647,5 374,351 022
26,Fevereiro,2019,196 173,136 677,9 087,341 937
27,Março,2019,201 708,160 139,8 490,370 337
28,Abril,2019,237 424,170 959,6 881,415 264
29,Maio,2019,242 088,188 058,14 695,444 841
30,Junho,2019,219 175,181 145,13 575,413 895
31,Julho,2019,238 365,207 577,14 015,459 958
32,Agosto,2019,220 218,200 452,11 885,432 555
33,Setembro,2019,262 616,188 405,10 545,461 566
34,Outubro,2019,281 248,180 473,7 888,469 609
35,Novembro,2019,243 138,156 103,8 835,408 075
36,Dezembro,2019,237 447,151 422,6 089,394 957
37,Janeiro,2018,197 681,146 532,8 138,352 351
38,Fevereiro,2018,182 187,133 732,8 060,323 979
39,Março,2018,192 517,158 977,8 341,359 835
40,Abril,2018,201 416,160 974,10 077,372 467 
41,Maio,2018,215 707,181 052,11 468,408 226
42,Junho,2018,192 178,171 588,12 770,376 536
43,Julho,2018,198 228,210 364,14 445,423 037
44,Agosto,2018,179 938,190 862,11 397,382 196
45,Setembro,2018,213 655,182 148,9 960,405 763
46,Outubro,2018,222 338,158 723,7 474,388 535 
47,Novembro,2018,209 102,147 866,7 736,364 704
48,Dezembro,2018,191 509,134 770,5 885,332 164
49,Janeiro,2017,188 604,134 864,7 721,331 189
50,Fevereiro,2017,168 291,126 868,8 437,303 596
51,Março,2017,200 109,154 853,10 463,365 425
52,Abril,2017,187 502,162 634,7 654,357 790
53,Maio,2017,208 974,176 134,14 184,399 292
54,Junho,2017,185 157,174 187,15 464,374 808
55,Julho,2017,179 680,196 886,16 005,392 571
56,Agosto,2017,176 086,193 248,11 953,381 287
57,Setembro,2017,207 731,179 004,10 152,396 887
58,Outubro,2017,216 896,172 842,7 744,397 482
59,Novembro,2017,192 095,155 758,9 032,356 885
60,Dezembro,2017,180 039,148 199,6 621,334 859
61,Janeiro,2016,170 399,122 573,7 621,300 593
62,Fevereiro,2016,173 605,121 150,8 782,303 537
63,Março,2016,182 140,148 453,8 775,339 368
64,Abril,2016,179 334,146 759,7 744,333 837
65,Maio,2016,192 416,167 610,13 851,373 877
66,Junho,2016,177 837,163 621,13 873,355 331
67,Julho,2016,170 682,183 436,14 556,368 674
68,Agosto,2016,163 124,183 001,10 973,357 098
69,Setembro,2016,199 400,169 045,9 961,378 406
70,Outubro,2016,199 064,157 975,8 785,365 824
71,Novembro,2016,194 407,146 198,8 217,348 822
72,Dezembro,2016,171 462,142 446,6 841,320 749
73,Janeiro,2015,170 063,120 594,6 674,297 331
74,Fevereiro,2015,161 679,111 967,6 868,280 514
75,Março,2015,184 163,140 770,9 564,334 497
76,Abril,2015,173 404,127 874,8 245,309 523
77,Maio,2015,182 436,149 324,9 569,341 329
78,Junho,2015,174 010,154 909,16 700,345 619
79,Julho,2015,167 812,171 577,15 419,354 808
80,Agosto,2015,149 707,170 633,9 611,329 951
81,Setembro,2015,190 937,158 504,12 791,362 232
82,Outubro,2015,193 420,149 621,8 954,351 995
83,Novembro,2015,187 982,134 005,8 527,330 514
84,Dezembro,2015,161 458,131 196,6 698,299 352
85,Janeiro,2014,172 533,114 768,6 962,294 263
86,Fevereiro,2014,163 674,111 240,7 446,282 360
87,Março,2014,180 225,130 086,9 092,319 403
88,Abril,2014,170 558,136 109,7 723,314 390
89,Maio,2014,186 436,144 870,11 445,342 751
90,Junho,2014,166 786,139 894,14 103,320 783
91,Julho,2014,168 411,162 514,16 371,347 296
92,Agosto,2014,143 884,161 821,11 382,317 087
93,Setembro,2014,196 783,148 363,11 050,356 196
94,Outubro,2014,201 449,145 466,8 669,355 584
95,Novembro,2014,173 158,129 486,8 755,311 399
96,Dezembro,2014,158 340,124 807,6 866,290 013
97,Janeiro,2013,175 866,105 618,4 871,286 355
98,Fevereiro,2013,160 214,100 308,6 055,266 577
99,Março,2013,162 619,112 292,7 087,281 998
100,Abril,2013,183 616,119 292,7 361,310 269
101,Maio,2013,185 955,133 406,9 189,328 550
102,Junho,2013,161 725,125 666,11 603,298 994
103,Julho,2013,163 399,146 159,13 898,323 456
104,Agosto,2013,140 502,147 783,9 829,298 114
105,Setembro,2013,187 557,139 842,8 079,335 478
106,Outubro,2013,199 003,134 963,7 582,341 548
107,Novembro,2013,174 544,113 861,6 423,294 828
108,Dezembro,2013,156 523,121 039,5 654,283 216
109,Janeiro,2012,218 568,118 604,4 150,341 322
110,Fevereiro,2012,172 440,108 378,5 289,286 107
111,Março,2012,189 852,121 902,6 230,317 984
112,Abril,2012,173 251,152 301,12 870,338 422
113,Maio,2012,153 245,143 619,10 539,307 403
114,Junho,2012,188 406,136 583,7 333,332 322
115,Julho,2012,173 251,152 301,12 870,338 422
116,Agosto,2012,153 245,143 619,10 539,307 403
117,Setembro,2012,188 406,136 583,7 333,332 322
118,Outubro,2012,199 060,120 659,6 457,326 176
119,Novembro,2012,186 670,112 066,4 984,303 720
120,Dezembro,2012,155 513,110 595,5 221,271 329
121,Janeiro,2011,214 605,130 440,4 671,349 716
122,Fevereiro,2011,196 578,110 342,4 694,311 614
123,Março,2011,218 059,119 663,6 642,344 364
124,Abril,2011,196 028,134 785,7 000,337 813
125,Maio,2011,227 454,143 780,8 136,379 370
126,Junho,2011,199 096,134 997,11 348,345 441
127,Julho,2011,195 590,169 727,15 713,381 030
128,Agosto,2011,170 674,157 399,11 704,339 777
129,Setembro,2011,210 447,147 389,7 598,365 434
130,Outubro,2011,215 758,143 759,6 208,365 725
131,Novembro,2011,198 788,111 214,4 739,314 741
132,Dezembro,2011,182 679,120 559,5 197,308 435
133,Janeiro,2010,185 966,133 192,5 304,324 462
134,Fevereiro,2010,173 515,124 443,5 420,303 378
135,Março,2010,199 612,143 187,8 429,351 228
136,Abril,2010,190 766,135 324,10 114,336 204
137,Maio,2010,201 528,159 851,10 586,371 965
138,Junho,2010,183 041,142 136,11 444,336 621
139,Julho,2010,175 617,163 504,15 352,354 473
140,Agosto,2010,163 115,165 943,14 941,343 999
141,Setembro,2010,202 271,155 670,8 277,366 218
142,Outubro,2010,198 720,153 027,6 476,358 223
143,Novembro,2010,199 808,132 214,5 678,337 700
144,Dezembro,2010,182 718,142 970,6 318,332 006
