Id, Meses, Local_de_residencia, Sexo, Meio de transporte, N_de_viagens,Ano
1, Dezembro, Portugal, M, Terrestre, 490061,2020
2, Novembro, Portugal, M, Terrestre, 269094,2020
3, Outubro, Portugal, M, Terrestre, 422653,2020
4, Setembro, Portugal, M, Terrestre, 689298,2020
5, Agosto, Portugal, M, Terrestre, 1582102,2020
6, Julho, Portugal, M, Terrestre, 916348,2020
7, Junho, Portugal, M, Terrestre, 573294,2020
8, Maio, Portugal, M, Terrestre, 324286,2020
9, Abril, Portugal, M, Terrestre, 129235,2020
10, Marco, Portugal, M, Terrestre, 238853,2020
11, Fevereiro, Portugal, M, Terrestre, 753848,2020
12, Janeiro, Portugal, M, Terrestre, 730575,2020
13, Dezembro, Portugal, M, Terrestre, 1189868,2019
14, Novembro, Portugal, M, Terrestre, 727471,2019
15, Outubro, Portugal, M, Terrestre, 706829,2019
16, Setembro, Portugal, M, Terrestre, 934423,2019
17, Agosto, Portugal, M, Terrestre, 1998405,2019
18, Julho, Portugal, M, Terrestre, 1205196,2019
19, Junho, Portugal, M, Terrestre, 971624,2019
20, Maio, Portugal, M, Terrestre, 720043,2019
21, Abril, Portugal, M, Terrestre, 941365,2019
22, Marco, Portugal, M, Terrestre, 781241,2019
23, Fevereiro, Portugal, M, Terrestre, 754774,2019
24, Janeiro, Portugal, M, Terrestre, 727388,2019
25, Dezembro, Portugal, M, Terrestre, 1153422,2018
26, Novembro, Portugal, M, Terrestre, 567882,2018
27, Outubro, Portugal, M, Terrestre, 633317,2018
28, Setembro, Portugal, M, Terrestre, 843514,2018
29, Agosto, Portugal, M, Terrestre, 1760417,2018
30, Julho, Portugal, M, Terrestre, 1144717,2018
31, Junho, Portugal, M, Terrestre, 848233,2018
32, Maio, Portugal, M, Terrestre, 680323,2018
33, Abril, Portugal, M, Terrestre, 622466,2018
34, Marco, Portugal, M, Terrestre, 811929,2018
35, Fevereiro, Portugal, M, Terrestre, 670539,2018
36, Janeiro, Portugal, M, Terrestre, 619938,2018
37, Dezembro, Portugal, M, Terrestre, 1127108,2017
38, Novembro, Portugal, M, Terrestre, 499174,2017
39, Outubro, Portugal, M, Terrestre, 564941,2017
40, Setembro, Portugal, M, Terrestre, 839609,2017
41, Agosto, Portugal, M, Terrestre, 1650987,2017
42, Julho, Portugal, M, Terrestre, 1184129,2017
43, Junho, Portugal, M, Terrestre, 705669,2017
44, Maio, Portugal, M, Terrestre, 577051,2017
45, Abril, Portugal, M, Terrestre, 855938,2017
46, Marco, Portugal, M, Terrestre, 659483,2017
47, Fevereiro, Portugal, M, Terrestre, 641379,2017
48, Janeiro, Portugal, M, Terrestre, 592453,2017
49, Dezembro, Portugal, M, Terrestre, 1019541,2016
50, Novembro, Portugal, M, Terrestre, 509902,2016
51, Outubro, Portugal, M, Terrestre, 567810,2016
52, Setembro, Portugal, M, Terrestre, 794494,2016
53, Agosto, Portugal, M, Terrestre, 1715611,2016
54, Julho, Portugal, M, Terrestre, 1127 739,2016
55, Junho, Portugal, M, Terrestre, 754468,2016
56, Maio, Portugal, M, Terrestre, 607169,2016
57, Abril, Portugal, M,Terrestre, 575662,2016
58, Marco, Portugal, M, Terrestre, 704422,2016
59, Fevereiro, Portugal, M, Terrestre, 489999,2016
60, Janeiro, Portugal, M, Terrestre, 527 583,2016
61, Dezembro, Portugal, M, Terrestre, 959829,2015
62, Novembro, Portugal, M, Terrestre, 440974,2015
63, Outubro, Portugal, M,Terrestre, 537579,2015
64, Setembro, Portugal, M,Terrestre, 716052,2015
65, Agosto, Portugal, M, Terrestre, 1 541267,2015
66, Julho, Portugal, M, Terrestre, 1034931,2015
67, Junho, Portugal, M, Terrestre, 714238,2015
68, Maio, Portugal, M, Terrestre, 655173,2015
69, Abril, Portugal, M,Terrestre, 665504,2015
70, Marco, Portugal, M, Terrestre, 645706,2015
71, Fevereiro, Portugal, M, Terrestre, 577864,2015
72, Janeiro, Portugal, M, Terrestre, 509118,2015
73, Dezembro, Portugal, M, Terrestre, 899250,2014
74, Novembro, Portugal, M, Terrestre, 494904,2014
75, Outubro, Portugal, M, Terrestre, 438562,2014
76, Setembro, Portugal, M, Terrestre, 570172,2014
77, Agosto, Portugal, M, Terrestre, 1365893,2014
78, Julho, Portugal, M, Terrestre, 936533,2014
79, Junho, Portugal, M, Terrestre, 713346,2014
80, Maio, Portugal, M, Terrestre, 644097,2014
81, Abril, Portugal, M, Terrestre, 751363,2014
82, Marco, Portugal, M, Terrestre, 575702,2014
83, Fevereiro, Portugal, M, Terrestre, 553407,2014
84, Janeiro, Portugal, M, Terrestre, 551576,2014
85, Dezembro, Portugal, M, Terrestre, 841528,2013
86, Novembro, Portugal, M, Terrestre, 481502,2013
87, Outubro, Portugal, M, Terrestre,461349,2013
88, Setembro, Portugal, M, Terrestre,664813,2013
89, Agosto, Portugal, M, Terrestre, 1591571,2013
90, Julho, Portugal, M,Terrestre, 953971,2013
91, Junho, Portugal, M, Terrestre, 740446,2013
92, Maio, Portugal, M, Terrestre, 594670,2013
93, Abril, Portugal, M, Terrestre, 620151,2013
94, Marco, Portugal, M,Terrestre, 697795,2013
95, Fevereiro, Portugal, M, Terrestre, 551195,2013
96, Janeiro, Portugal, M,Terrestre, 545081,2013
97, Dezembro, Portugal, M, Terrestre, 948398,2012
98, Novembro, Portugal, M, Terrestre, 476975,2012
99, Outubro, Portugal, M,Terrestre, 503033,2012
100, Setembro, Portugal, M, Terrestre, 583293,2012
101, Agosto, Portugal, M, Terrestre, 1390662,2012
102, Julho, Portugal, M, Terrestre, 902049,2012
103, Junho, Portugal, M, Terrestre, 642801,2012
104, Maio, Portugal, M, Terrestre, 452079,2012
105, Abril, Portugal, M, Terrestre, 617538,2012
106, Marco, Portugal, M, Terrestre, 553461,2012
107, Fevereiro, Portugal, M, Terrestre, 527344,2012
108, Janeiro, Portugal, M, Terrestre, 458058,2012
109, Dezembro, Portugal, M,Terrestre, 894655,2011
110, Novembro, Portugal, M, Terrestre, 415798,2011
111, Outubro, Portugal, M, Terrestre,414372,2011
112, Setembro, Portugal, M, Terrestre,588644,2011
113, Agosto, Portugal, M, Terrestre, 1172179,2011
114, Julho, Portugal, M,Terrestre, 808963,2011
115, Junho, Portugal, M, Terrestre, 550404,2011
116, Maio, Portugal, M, Terrestre, 439655,2011
117, Abril, Portugal, M,Terrestre, 650820,2011
118, Março, Portugal, M, Terrestre, 479863,2011
119, Fevereiro, Portugal, M, Terrestre, 420605,2011
120, Janeiro, Portugal, M, Terrestre, 442886,2011
121, Dezembro, Portugal, M, Terrestre, 869284,2010
122, Novembro, Portugal, M, Terrestre, 383354,2010
123,Outubro,Portugal, M,Terrestre,441609,2010
124,Setembro,Portugal, M,Terrestre,510468,2010
125,Agosto,Portugal, M,Terrestre,1267245,2010
126, Julho,Portugal,M,Terrestre,790467,2010
127, Junho,Portugal,M,Terrestre,599608,2010
128,Maio,Portugal,M,Terrestre,400996,2010
129,Abril,Portugal,M,Terrestre,541771,2010
130,Marco,Portugal,M,Terrestre,402292,2010
131,Fevereiro,Portugal,M,Terrestre,474977,2010
132,Janeiro,Portugal,M,Terrestre,434454,2010
