Id, Meses, Local_de_residencia, Sexo, Meio_de_transporte, N_de_viagens, Ano
1, Dezembro, Portugal, H, Terrestre, 455660, 2020
2, Novembro, Portugal, H, Terrestre, 257429, 2020
3, Outubro, Portugal, H, Terrestre, 370955, 2020
4, Setembro, Portugal, H, Terrestre, 651954, 2020 
5, Agosto, Portugal, H, Terrestre, 1480003, 2020
6, Julho, Portugal, H, Terrestre,839586, 2020
7, Junho, Portugal, H, Terrestre, 549079, 2020
8, Maio, Portugal, H, Terrestre, 280875, 2020
9, Abril, Portugal, H, Terrestre, 90 283, 2020
10, Marco, Portugal, H, Terrestre, 193243, 2020
11, Fevereiro, Portugal, H, Terrestre, 644035, 2020
12, Janeiro, Portugal, H, Terrestre, 693375, 2020
13, Dezembro, Portugal, H, Terrestre, 1062123, 2019
14, Novembro, Portugal, H, Terrestre, 640475, 2019
15, Outubro, Portugal, H, Terrestre, 557289, 2019
16, Setembro, Portugal, H, Terrestre, 778200, 2019
17, Agosto, Portugal, H, Terrestre, 1748342, 2019
18, Julho, Portugal, H, Terrestre, 1106234, 2019
19, Junho, Portugal, H, Terrestre, 743388, 2019
20, Maio, Portugal, H, Terrestre, 626327, 2019
21, Abril, Portugal, H, Terrestre,806945, 2019
22, Marco, Portugal, H, Terrestre, 669202, 2019
23, Fevereiro, Portugal, H, Terrestre, 601350, 2019
24, Janeiro, Portugal, H, Terrestre, 577862, 2019
25, Dezembro, Portugal, H, Terrestre, 947831, 2018
26, Novembro, Portugal, H, Terrestre, 537433, 2018
27, Outubro, Portugal, H, Terrestre, 578682, 2018
28, Setembro, Portugal, H, Terrestre, 734262, 2018
29, Agosto, Portugal, H, Terrestre, 1572758, 2018
30, Julho, Portugal, H, Terrestre, 1020872, 2018
31, Junho, Portugal, H, Terrestre, 798963, 2018
32, Maio, Portugal, H, Terrestre, 613690, 2018
33, Abril, Portugal, H, Terrestre, 560735, 2018
34, Marco, Portugal, H, Terrestre, 715067, 2018
35, Fevereiro, Portugal, H, Terrestre, 619944, 2018
36, Janeiro, Portugal, H, Terrestre, 585259, 2018
37, Dezembro, Portugal, H, Terrestre, 1007850, 2017
38, Novembro, Portugal, H, Terrestre, 486338, 2017
39, Outubro, Portugal, H, Terrestre, 556977, 2017
40, Setembro, Portugal, H, Terrestre, 862421, 2017
41, Agosto, Portugal, H, Terrestre, 1512378, 2017
42, Julho, Portugal, H, Terrestre, 1050905, 2017
43, Junho, Portugal, H, Terrestre, 654490, 2017
44, Maio, Portugal, H, Terrestre, 574746, 2017
45, Abril, Portugal, H, Terrestre, 762454, 2017
46, Marco, Portugal, H, Terrestre,552014, 2017
47, Fevereiro, Portugal, H, Terrestre,552128, 2017
48, Janeiro, Portugal, H, Terrestre, 546549, 2017
49, Dezembro, Portugal, H, Terrestre, 876182, 2016
50, Novembro, Portugal, H, Terrestre, 476622, 2016
51, Outubro, Portugal, H, Terrestre, 559641, 2016
52, Setembro, Portugal, H, Terrestre, 799887, 2016
53, Agosto, Portugal, H, Terrestre, 1567500, 2016
54, Julho, Portugal, H, Terrestre, 1048271, 2016
55, Junho, Portugal, H, Terrestre, 720313, 2016
56, Maio, Portugal, H, Terrestre, 560044, 2016
57, Abril, Portugal, H,Terrestre, 597144, 2016
58, Marco, Portugal, H, Terrestre, 626936, 2016
59, Fevereiro, Portugal, H, Terrestre, 506369, 2016
60, Janeiro, Portugal, H, Terrestre, 554483, 2016
61, Dezembro, Portugal, H, Terrestre, 862901, 2015
62, Novembro, Portugal, H, Terrestre, 416169, 2015
63, Outubro, Portugal, H,Terrestre, 492071, 2015
64, Setembro, Portugal, H,Terrestre, 654234, 2015
65, Agosto, Portugal, H, Terrestre, 1429907, 2015
66, Julho, Portugal, H, Terrestre, 997257, 2015
67, Junho, Portugal, H, Terrestre, 645524, 2015
68, Maio, Portugal, H, Terrestre, 576374, 2015
69, Abril, Portugal, H,Terrestre, 582469, 2015
70, Marco, Portugal, H, Terrestre, 572723, 2015
71, Fevereiro, Portugal, H, Terrestre, 537732, 2015
72, Janeiro, Portugal, H, Terrestre, 487118, 2015
73, Dezembro, Portugal, H, Terrestre, 83302, 2014
74, Novembro, Portugal, H, Terrestre, 499565, 2014
75, Outubro, Portugal, H, Terrestre, 430445, 2014
76, Setembro, Portugal, H, Terrestre, 571927, 2014
77, Agosto, Portugal, H, Terrestre, 1224683, 2014
78, Julho, Portugal, H, Terrestre, 864266, 2014
79, Junho, Portugal, H, Terrestre, 610161, 2014
80, Maio, Portugal, H, Terrestre,593705, 2014
81, Abril, Portugal, H, Terrestre, 663183, 2014
82, Marco, Portugal, H, Terrestre, 540036, 2014
83, Fevereiro, Portugal, H, Terrestre, 534948, 2014
84, Janeiro, Portugal, H, Terrestre, 547366, 2014
85, Dezembro, Portugal, H, Terrestre, 839914, 2013
86, Novembro, Portugal, H, Terrestre, 517147, 2013
87, Outubro, Portugal, H, Terrestre, 446186, 2013
88, Setembro, Portugal, H, Terrestre, 595098, 2013
89, Agosto, Portugal, H, Terrestre, 1340922, 2013
90, Julho, Portugal, H,Terrestre, 814899, 2013
91, Junho, Portugal, H, Terrestre, 639311, 2013
92, Maio, Portugal, H, Terrestre, 519245, 2013
93, Abril, Portugal, H, Terrestre, 497694, 2013
94, Marco, Portugal, H,Terrestre, 595894, 2013
95, Fevereiro, Portugal, H, Terrestre, 497711, 2013
96, Janeiro, Portugal, H,Terrestre, 506007, 2013
97, Dezembro, Portugal, H, Terrestre, 904798, 2012
98, Novembro, Portugal, H, Terrestre, 468854, 2012
99, Outubro, Portugal, H,Terrestre, 423622, 2012
100, Setembro, Portugal, H, Terrestre, 552654, 2012
101, Agosto, Portugal, H, Terrestre,1 276026, 2012
102, Julho, Portugal, H, Terrestre, 780910, 2012
103, Junho, Portugal, H, Terrestre, 619371, 2012
104, Maio, Portugal, H, Terrestre, 466983, 2012
105, Abril, Portugal, H, Terrestre, 580623, 2012
106, Marco, Portugal, H, Terrestre, 518968, 2012
107, Fevereiro, Portugal, H, Terrestre, 526032, 2012
108, Janeiro, Portugal, H, Terrestre, 503457, 2012
109, Dezembro, Portugal, H,Terrestre, 801069, 2011
110, Novembro, Portugal, H, Terrestre, 332032, 2011
111, Outubro, Portugal, H, Terrestre, 389208, 2011
112, Setembro, Portugal, H, Terrestre, 474158, 2011
113, Agosto, Portugal, H, Terrestre, 1146797, 2011
114, Julho, Portugal, H,Terrestre,712719, 2011
115, Junho, Portugal, H, Terrestre,476103, 2011
116, Maio, Portugal, H, Terrestre,416758, 2011
117, Abril, Portugal, H,Terrestre, 589752, 2011
118, Marco, Portugal, H, Terrestre, 430093, 2011
119, Fevereiro, Portugal, H, Terrestre, 386459, 2011
120, Janeiro, Portugal, H, Terrestre, 385501, 2011
121, Dezembro, Portugal, H, Terrestre, 813298, 2010
122, Novembro, Portugal, H, Terrestre, 393884, 2010
123, Outubro, Portugal, H,Terrestre, 427464, 2010
124, Setembro, Portugal, H,Terrestre, 536364, 2010
125, Agosto, Portugal, H, Terrestre, 1223367, 2010
126, Julho, Portugal, H, Terrestre, 782277, 2010
127, Junho, Portugal, H, Terrestre,524934 , 2010
128, Maio, Portugal, H, Terrestre, 378346, 2010
129, Abril, Portugal, H, Terrestre, 494672, 2010
130, Marco, Portugal, H, Terrestre, 392709, 2010
131, Fevereiro, Portugal, H, Terrestre, 489501, 2010
132, Janeiro, Portugal, H, Terrestre, 412087, 2010
