Id, Meses, Local de residência, Sexo, Meio de transporte, Nº de viagens, Ano
1, Dezembro, Portugal, HM, Total, 979 908, 2020
2, Novembro, Portugal, HM, Total, 541 469, 2020
3, Outubro, Portugal, HM, Total, 828 561, 2020
4, Setembro, Portugal, HM, Total, 1 398 486, 2020 
"5, Agosto, Portugal, HM; Total, 3 154 781, 2020"
6, Julho, Portugal, HM, Total, 1 803 136, 2020
7, Junho, Portugal, HM, Total, 1 136 653, 2020
8, Maio, HM, Portugal, Total, 607 691, 2020
9, Abril, HM, Portugal, Total, 222 200, 2020
10, Março, HM, Portugal, Total, 489 913, 2020
11, Fevereiro, HM, Portugal, Total, 1 619 564, 2020
12, Janeiro, HM, Portugal, Total, 1 627 487, 2020
