
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
2019;PT: Portugal;10295909;4859977;5435932;
;1: Continente;9798859;4623424;5175435;
;11: Norte;3575338;1687717;1887621;
;111: Alto Minho;230412;106605;123807;
;1111601: Arcos de Valdevez;20926;9449;11477;
;1111602: Caminha;15877;7239;8638;
;1111603: Melgaço;8093;3518;4575;
;1111604: Monção;17869;8076;9793;
;1111605: Paredes de Coura;8535;4025;4510;
;1111606: Ponte da Barca;11180;5081;6099;
;1111607: Ponte de Lima;41315;19311;22004;
;1111608: Valença;13290;6120;7170;
;1111609: Viana do Castelo;84417;39569;44848;
;1111610: Vila Nova de Cerveira;8910;4217;4693;
;112: Cávado;404444;191973;212471;
;1120301: Amares;18129;8730;9399;
;1120302: Barcelos;116187;55427;60760;
;1120303: Braga;182679;86128;96551;
;1120306: Esposende;34177;16181;17996;
;1120310: Terras de Bouro;6361;3032;3329;
;1120313: Vila Verde;46911;22475;24436;
;119: Ave;411857;196353;215504;
;1190304: Cabeceiras de Basto;15628;7506;8122;
;1190307: Fafe;48060;22443;25617;
;1190308: Guimarães;152309;72933;79376;
;1191705: Mondim de Basto;6946;3298;3648;
;1190309: Póvoa de Lanhoso;21499;10151;11348;
;1190311: Vieira do Minho;11842;5637;6205;
;1190312: Vila Nova de Famalicão;131676;62830;68846;
;1190314: Vizela;23897;11555;12342;
;11A: Área Metropolitana do Porto;1728226;811332;916894;
;11A0104: Arouca;20720;9798;10922;
;11A0107: Espinho;29516;13737;15779;
;11A1304: Gondomar;165985;78484;87501;
;11A1306: Maia;138971;65514;73457;
;11A1308: Matosinhos;175357;82053;93304;
;11A0113: Oliveira de Azeméis;66011;31353;34658;
;11A1310: Paredes;86067;41596;44471;
;11A1312: Porto;216606;97378;119228;
;11A1313: Póvoa de Varzim;62784;29445;33339;
;11A0109: Santa Maria da Feira;138636;66050;72586;
;11A1314: Santo Tirso;68055;32071;35984;
;11A0116: São João da Madeira;21958;10252;11706;
;11A1318: Trofa;38418;18204;20214;
;11A0119: Vale de Cambra;21327;10141;11186;
;11A1315: Valongo;97444;45839;51605;
;11A1316: Vila do Conde;79899;38184;41715;
;11A1317: Vila Nova de Gaia;300472;141233;159239;
;11B: Alto Tâmega;86133;40444;45689;
;11B1702: Boticas;4998;2342;2656;
;11B1703: Chaves;39343;18605;20738;
;11B1706: Montalegre;8997;4194;4803;
;11B1709: Ribeira de Pena;6016;2912;3104;
;11B1712: Valpaços;14818;6785;8033;
;11B1713: Vila Pouca de Aguiar;11961;5606;6355;
;11C: Tâmega e Sousa;415989;200088;215901;
;11C1301: Amarante;53193;25136;28057;
;11C1302: Baião;18748;8961;9787;
;11C0106: Castelo de Paiva;15454;7486;7968;
;11C0305: Celorico de Basto;19040;9131;9909;
;11C1804: Cinfães;18244;8806;9438;
